LeadID,VehicleSoldProbability
11297702,0.6500000000
11298093,0.6500000000
11240196,0.6500000000
11380490,0.6300000000
10963217,0.6200000000
11373430,0.6000000000
10983064,0.5800000000
11251906,0.5600000000
10810127,0.5500000000
11024173,0.5400000000
11003955,0.5400000000
10846110,0.5400000000
11152064,0.5200000000
11487630,0.5200000000
11321457,0.5100000000
11475800,0.5100000000
11484994,0.5100000000
10931132,0.5000000000
11057984,0.5000000000
10801921,0.4900000000
11463806,0.4700000000
11455598,0.4700000000
10872263,0.4600000000
10926177,0.4600000000
11246114,0.4600000000
11364657,0.4600000000
11438207,0.4500000000
11208947,0.4500000000
11384661,0.4500000000
10833874,0.4400000000
11249878,0.4400000000
11312497,0.4400000000
11036474,0.4300000000
11244022,0.4300000000
10942802,0.4300000000
10909677,0.4200000000
11259683,0.4200000000
11028227,0.4200000000
10889378,0.4200000000
11211572,0.4200000000
10826324,0.4100000000
10921167,0.4100000000
10969168,0.4100000000
10976643,0.4100000000
11413080,0.4100000000
11494087,0.4100000000
10913374,0.4100000000
11494736,0.4100000000
11415612,0.4100000000
10939401,0.4100000000
10963723,0.4000000000
10989383,0.4000000000
10912205,0.3900000000
10854080,0.3900000000
11490067,0.3900000000
11487144,0.3900000000
11018264,0.3900000000
10942655,0.3900000000
10900177,0.3900000000
11399120,0.3900000000
11234577,0.3900000000
11200899,0.3900000000
10805924,0.3900000000
11269344,0.3900000000
11102868,0.3800000000
11237782,0.3800000000
11263711,0.3800000000
11268039,0.3800000000
10806284,0.3800000000
10984464,0.3700000000
10993180,0.3700000000
11291057,0.3700000000
10905996,0.3700000000
11215195,0.3700000000
11228607,0.3600000000
11378229,0.3600000000
11232713,0.3600000000
11501069,0.3600000000
11454238,0.3600000000
11063120,0.3600000000
11162910,0.3600000000
11282701,0.3600000000
10996006,0.3600000000
11454251,0.3600000000
11187376,0.3500000000
11250177,0.3500000000
10807711,0.3500000000
11488293,0.3500000000
10939274,0.3500000000
11022852,0.3500000000
10847410,0.3500000000
10857287,0.3500000000
10826914,0.3500000000
11236868,0.3500000000
10845397,0.3500000000
10932427,0.3500000000
11481107,0.3500000000
10799571,0.3400000000
11121391,0.3400000000
10978195,0.3400000000
10853613,0.3400000000
11485080,0.3400000000
10894191,0.3400000000
11445337,0.3400000000
11105448,0.3400000000
10878899,0.3400000000
11476668,0.3400000000
11498950,0.3400000000
11463835,0.3400000000
11266512,0.3400000000
11196226,0.3400000000
11290603,0.3300000000
11396646,0.3300000000
11277809,0.3300000000
11144039,0.3300000000
10822953,0.3300000000
11474489,0.3300000000
11419663,0.3300000000
11279154,0.3200000000
10809482,0.3200000000
10937043,0.3200000000
11331569,0.3200000000
10824783,0.3200000000
10994462,0.3200000000
11049608,0.3200000000
11071426,0.3200000000
10827799,0.3200000000
11376673,0.3200000000
11212096,0.3200000000
11402825,0.3200000000
10946764,0.3200000000
11469055,0.3200000000
11190871,0.3100000000
10905289,0.3100000000
11144179,0.3100000000
10822382,0.3100000000
11208048,0.3100000000
11361429,0.3100000000
11018466,0.3100000000
10971982,0.3100000000
11505495,0.3100000000
10843107,0.3100000000
10955882,0.3100000000
10870003,0.3100000000
10872292,0.3100000000
10947953,0.3100000000
10854247,0.3100000000
11269985,0.3100000000
10979841,0.3100000000
10819810,0.3100000000
11095767,0.3100000000
11481060,0.3000000000
11462583,0.3000000000
11044949,0.3000000000
10935989,0.3000000000
10939846,0.3000000000
11052120,0.3000000000
10972018,0.3000000000
11478220,0.3000000000
10889971,0.3000000000
11317881,0.3000000000
11429663,0.3000000000
10975798,0.3000000000
10910496,0.3000000000
11270249,0.3000000000
11257773,0.2900000000
11030201,0.2900000000
10990486,0.2900000000
11174883,0.2900000000
10877504,0.2900000000
10902732,0.2900000000
11324833,0.2900000000
11346463,0.2900000000
10946806,0.2900000000
10845395,0.2900000000
11483603,0.2900000000
10962497,0.2900000000
10956358,0.2900000000
11295473,0.2900000000
11232180,0.2900000000
11200520,0.2900000000
10990663,0.2800000000
11231253,0.2800000000
10802332,0.2800000000
11498550,0.2800000000
11364336,0.2800000000
11254205,0.2800000000
